grupo,arquivo,caminho,erro,traceback
HC,s6_sub-100013_rs_eeg.set,C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100013\eeg\s6_sub-100013_rs_eeg.set,File C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100013\eeg\s6_sub-100013_rs_eeg.fdt not found.,"Traceback (most recent call last):
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 172, in <module>
    raw = carregar_raw_seguro(arq)
          ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 87, in carregar_raw_seguro
    raise e
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 68, in carregar_raw_seguro
    return mne.io.read_raw_eeglab(str(arq_path), preload=True, verbose=False)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\eeglab\eeglab.py"", line 329, in read_raw_eeglab
    return RawEEGLAB(
           ^^^^^^^^^^
  File ""<decorator-gen-271>"", line 10, in __init__
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\eeglab\eeglab.py"", line 467, in __init__
    super().__init__(
  File ""<decorator-gen-252>"", line 10, in __init__
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\base.py"", line 259, in __init__
    self.filenames = list(filenames)
    ^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\base.py"", line 703, in filenames
    raise FileNotFoundError(f""File {value[k]} not found."")
FileNotFoundError: File C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100013\eeg\s6_sub-100013_rs_eeg.fdt not found.
"
HC,s6_sub-100019_rs_eeg.set,C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100019\eeg\s6_sub-100019_rs_eeg.set,File C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100019\eeg\s6_sub-100019_rs_eeg.fdt not found.,"Traceback (most recent call last):
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 172, in <module>
    raw = carregar_raw_seguro(arq)
          ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 87, in carregar_raw_seguro
    raise e
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 68, in carregar_raw_seguro
    return mne.io.read_raw_eeglab(str(arq_path), preload=True, verbose=False)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\eeglab\eeglab.py"", line 329, in read_raw_eeglab
    return RawEEGLAB(
           ^^^^^^^^^^
  File ""<decorator-gen-271>"", line 10, in __init__
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\eeglab\eeglab.py"", line 467, in __init__
    super().__init__(
  File ""<decorator-gen-252>"", line 10, in __init__
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\base.py"", line 259, in __init__
    self.filenames = list(filenames)
    ^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\base.py"", line 703, in filenames
    raise FileNotFoundError(f""File {value[k]} not found."")
FileNotFoundError: File C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100019\eeg\s6_sub-100019_rs_eeg.fdt not found.
"
HC,s6_sub-100023_rs_eeg.set,C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100023\eeg\s6_sub-100023_rs_eeg.set,File C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100023\eeg\s6_sub-100023_rs_eeg.fdt not found.,"Traceback (most recent call last):
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 172, in <module>
    raw = carregar_raw_seguro(arq)
          ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 87, in carregar_raw_seguro
    raise e
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 68, in carregar_raw_seguro
    return mne.io.read_raw_eeglab(str(arq_path), preload=True, verbose=False)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\eeglab\eeglab.py"", line 329, in read_raw_eeglab
    return RawEEGLAB(
           ^^^^^^^^^^
  File ""<decorator-gen-271>"", line 10, in __init__
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\eeglab\eeglab.py"", line 467, in __init__
    super().__init__(
  File ""<decorator-gen-252>"", line 10, in __init__
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\base.py"", line 259, in __init__
    self.filenames = list(filenames)
    ^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\base.py"", line 703, in filenames
    raise FileNotFoundError(f""File {value[k]} not found."")
FileNotFoundError: File C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100023\eeg\s6_sub-100023_rs_eeg.fdt not found.
"
HC,s6_sub-100025_rs_eeg.set,C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100025\eeg\s6_sub-100025_rs_eeg.set,File C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100025\eeg\s6_sub-100025_rs_eeg.fdt not found.,"Traceback (most recent call last):
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 172, in <module>
    raw = carregar_raw_seguro(arq)
          ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 87, in carregar_raw_seguro
    raise e
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 68, in carregar_raw_seguro
    return mne.io.read_raw_eeglab(str(arq_path), preload=True, verbose=False)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\eeglab\eeglab.py"", line 329, in read_raw_eeglab
    return RawEEGLAB(
           ^^^^^^^^^^
  File ""<decorator-gen-271>"", line 10, in __init__
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\eeglab\eeglab.py"", line 467, in __init__
    super().__init__(
  File ""<decorator-gen-252>"", line 10, in __init__
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\base.py"", line 259, in __init__
    self.filenames = list(filenames)
    ^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\base.py"", line 703, in filenames
    raise FileNotFoundError(f""File {value[k]} not found."")
FileNotFoundError: File C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100025\eeg\s6_sub-100025_rs_eeg.fdt not found.
"
HC,s6_sub-100027_rs_eeg.set,C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100027\eeg\s6_sub-100027_rs_eeg.set,File C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100027\eeg\s6_sub-100027_rs_eeg.fdt not found.,"Traceback (most recent call last):
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 172, in <module>
    raw = carregar_raw_seguro(arq)
          ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 87, in carregar_raw_seguro
    raise e
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 68, in carregar_raw_seguro
    return mne.io.read_raw_eeglab(str(arq_path), preload=True, verbose=False)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\eeglab\eeglab.py"", line 329, in read_raw_eeglab
    return RawEEGLAB(
           ^^^^^^^^^^
  File ""<decorator-gen-271>"", line 10, in __init__
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\eeglab\eeglab.py"", line 467, in __init__
    super().__init__(
  File ""<decorator-gen-252>"", line 10, in __init__
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\base.py"", line 259, in __init__
    self.filenames = list(filenames)
    ^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\base.py"", line 703, in filenames
    raise FileNotFoundError(f""File {value[k]} not found."")
FileNotFoundError: File C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100027\eeg\s6_sub-100027_rs_eeg.fdt not found.
"
HC,s6_sub-100032_rs_eeg.set,C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100032\eeg\s6_sub-100032_rs_eeg.set,File C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100032\eeg\s6_sub-100032_rs_eeg.fdt not found.,"Traceback (most recent call last):
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 172, in <module>
    raw = carregar_raw_seguro(arq)
          ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 87, in carregar_raw_seguro
    raise e
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 68, in carregar_raw_seguro
    return mne.io.read_raw_eeglab(str(arq_path), preload=True, verbose=False)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\eeglab\eeglab.py"", line 329, in read_raw_eeglab
    return RawEEGLAB(
           ^^^^^^^^^^
  File ""<decorator-gen-271>"", line 10, in __init__
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\eeglab\eeglab.py"", line 467, in __init__
    super().__init__(
  File ""<decorator-gen-252>"", line 10, in __init__
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\base.py"", line 259, in __init__
    self.filenames = list(filenames)
    ^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\base.py"", line 703, in filenames
    raise FileNotFoundError(f""File {value[k]} not found."")
FileNotFoundError: File C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100032\eeg\s6_sub-100032_rs_eeg.fdt not found.
"
HC,s6_sub-100036_rs_eeg.set,C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100036\eeg\s6_sub-100036_rs_eeg.set,File C:\Users\tiago\Downloads\Dataset_EEG_Alzheimer\dataset_eeg_hc\CL\sub-100036\eeg\s6_sub-100036_rs_eeg.fdt not found.,"Traceback (most recent call last):
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 172, in <module>
    raw = carregar_raw_seguro(arq)
          ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 87, in carregar_raw_seguro
    raise e
  File ""C:\Users\tiago\AppData\Local\Temp\ipykernel_9408\642752865.py"", line 68, in carregar_raw_seguro
    return mne.io.read_raw_eeglab(str(arq_path), preload=True, verbose=False)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\eeglab\eeglab.py"", line 329, in read_raw_eeglab
    return RawEEGLAB(
           ^^^^^^^^^^
  File ""<decorator-gen-271>"", line 10, in __init__
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\eeglab\eeglab.py"", line 467, in __init__
    super().__init__(
  File ""<decorator-gen-252>"", line 10, in __init__
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\base.py"", line 259, in __init__
    self.filenames = list(filenames)
    ^^^^^^^^^^^^^^
  File ""C:\Users\tiago\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\mne\io\base.py"", line 703, in filenames
    raise FileNotFoundError(f""File {value[k]} not found."")
